Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[1.26041818]
0,0,0,0,0,[1.26890989]
0,0,0,0,0,[1.29910758]
0,0,0,0,0,[1.3563876]
0,0,0,0,0,[1.29606755]
0,0,0,0,0,[1.26351556]
0,0,0,0,0,[1.29187116]
0,0,0,0,0,[1.24723339]
0,0,0,0,0,[1.23502663]
0,0,0,0,0,[1.25745793]
0,0,0,0,0,[1.32698143]
0,0,0,0,0,[1.31239516]
0,0,0,0,0,[1.42758906]
0,0,0,0,0,[1.61118995]
0,0,0,0,0,[1.31302419]
0,0,0,0,0,[1.28134877]
0,0,0,0,0,[1.25898287]
0,0,0,0,0,[1.06985209]
0,0,0,0,0,[1.18978554]
0,0,0,0,0,[1.29890828]
0,0,0,0,0,[1.34617452]
0,0,0,0,0,[1.31070056]
0,0,0,0,0,[1.38174734]
0,0,0,0,0,[1.21908897]
0,0,0,0,0,[1.30842252]
0,0,0,0,0,[1.31084742]
0,0,0,0,0,[1.19490578]
0,0,0,0,0,[1.26848949]
0,0,0,0,0,[1.16879099]
0,0,0,0,0,[1.00838798]
0,0,0,0,0,[1.25571475]
0,0,0,0,0,[1.56366905]
0,0,0,0,0,[1.15979416]
0,0,0,0,0,[1.32233125]
0,0,0,0,0,[1.35527767]
0,0,0,0,0,[1.15759286]
0,0,0,0,0,[1.33611865]
0,0,0,0,0,[1.21327435]
0,0,0,0,0,[1.21810208]
0,0,0,0,0,[1.34001236]
