Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[47.4694071]
0,0,0,0,0,[50.58172682]
0,0,0,0,0,[53.74504122]
0,0,0,0,0,[50.51404674]
0,0,0,0,0,[46.35801875]
0,0,0,0,0,[48.38283207]
0,0,0,0,0,[49.49967929]
0,0,0,0,0,[48.48620536]
0,0,0,0,0,[48.49206643]
0,0,0,0,0,[48.62680789]
0,0,0,0,0,[60.69200301]
0,0,0,0,0,[50.76644365]
0,0,0,0,0,[66.87357112]
0,0,0,0,0,[62.234265]
0,0,0,0,0,[56.36193056]
0,0,0,0,0,[62.1561192]
0,0,0,0,0,[52.74771393]
0,0,0,0,0,[62.89810848]
0,0,0,0,0,[63.04349205]
0,0,0,0,0,[62.65126917]
0,0,0,0,0,[63.66701405]
0,0,0,0,0,[60.04186755]
0,0,0,0,0,[67.70686509]
0,0,0,0,0,[69.07705521]
0,0,0,0,0,[67.94180684]
0,0,0,0,0,[68.16296548]
0,0,0,0,0,[66.49591056]
0,0,0,0,0,[58.30249794]
0,0,0,0,0,[60.51467259]
0,0,0,0,0,[60.89893222]
0,0,0,0,0,[71.93720777]
0,0,0,0,0,[71.82792734]
0,0,0,0,0,[68.13625433]
0,0,0,0,0,[71.21083993]
0,0,0,0,0,[69.97992708]
0,0,0,0,0,[66.68287733]
0,0,0,0,0,[71.61137839]
0,0,0,0,0,[66.68809877]
0,0,0,0,0,[70.47720193]
0,0,0,0,0,[71.29933769]
