Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[0.1301054]
0,0,0,0,0,[0.11264934]
0,0,0,0,0,[0.09298731]
0,0,0,0,0,[0.0827757]
0,0,0,0,0,[-0.02812268]
0,0,0,0,0,[-0.57064109]
0,0,0,0,0,[-0.84408296]
0,0,0,0,0,[-0.64074165]
0,0,0,0,0,[-0.7795233]
0,0,0,0,0,[-0.24402565]
0,0,0,0,0,[0.34891013]
0,0,0,0,0,[0.37872171]
0,0,0,0,0,[0.36041261]
0,0,0,0,0,[0.15103609]
0,0,0,0,0,[0.22122403]
0,0,0,0,0,[-0.6108929]
0,0,0,0,0,[-0.80759519]
0,0,0,0,0,[-0.75395213]
0,0,0,0,0,[-0.54667001]
0,0,0,0,0,[-0.67846637]
0,0,0,0,0,[0.3790484]
0,0,0,0,0,[0.13551621]
0,0,0,0,0,[0.39460507]
0,0,0,0,0,[0.51032165]
0,0,0,0,0,[0.42124289]
0,0,0,0,0,[-0.10172916]
0,0,0,0,0,[-0.42892232]
0,0,0,0,0,[-0.67621255]
0,0,0,0,0,[-0.70060545]
0,0,0,0,0,[-0.84686928]
0,0,0,0,0,[0.37526978]
0,0,0,0,0,[0.71694287]
0,0,0,0,0,[0.49462557]
0,0,0,0,0,[0.32930873]
0,0,0,0,0,[0.52761716]
0,0,0,0,0,[-0.42500107]
0,0,0,0,0,[-0.17140381]
0,0,0,0,0,[-0.31717958]
0,0,0,0,0,[-0.43757668]
0,0,0,0,0,[-0.155919]
