Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[0.34250334]
0,0,0,0,0,[-0.06407606]
0,0,0,0,0,[0.20464532]
0,0,0,0,0,[-0.59052769]
0,0,0,0,0,[-0.27650822]
0,0,0,0,0,[-0.34223825]
0,0,0,0,0,[0.13329271]
0,0,0,0,0,[-0.52689566]
0,0,0,0,0,[2.29241019]
0,0,0,0,0,[-0.168081]
0,0,0,0,0,[0.37922461]
0,0,0,0,0,[0.25183527]
0,0,0,0,0,[0.16888609]
0,0,0,0,0,[0.18270506]
0,0,0,0,0,[0.05462598]
0,0,0,0,0,[0.01095146]
0,0,0,0,0,[0.67364903]
0,0,0,0,0,[0.99115583]
0,0,0,0,0,[3.0134249]
0,0,0,0,0,[-0.07920336]
0,0,0,0,0,[-0.10611201]
0,0,0,0,0,[0.26926402]
0,0,0,0,0,[0.19505548]
0,0,0,0,0,[0.01844381]
0,0,0,0,0,[0.34548198]
0,0,0,0,0,[0.21781045]
0,0,0,0,0,[0.32825311]
0,0,0,0,0,[0.56104513]
0,0,0,0,0,[0.13987552]
0,0,0,0,0,[1.35764929]
0,0,0,0,0,[0.08939358]
0,0,0,0,0,[0.14351847]
0,0,0,0,0,[-0.01246858]
0,0,0,0,0,[0.13659532]
0,0,0,0,0,[0.19200176]
0,0,0,0,0,[-0.03129819]
0,0,0,0,0,[1.05507917]
0,0,0,0,0,[0.70258272]
0,0,0,0,0,[0.5211198]
0,0,0,0,0,[0.8380924]
