Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[1.01039619]
0,0,0,0,0,[0.60114652]
0,0,0,0,0,[0.64760744]
0,0,0,0,0,[0.89150416]
0,0,0,0,0,[0.56139323]
0,0,0,0,0,[1.8188695]
0,0,0,0,0,[1.89182517]
0,0,0,0,0,[1.71373042]
0,0,0,0,0,[1.8342556]
0,0,0,0,0,[1.19296975]
0,0,0,0,0,[1.27029343]
0,0,0,0,0,[1.32914791]
0,0,0,0,0,[0.91274189]
0,0,0,0,0,[0.94308343]
0,0,0,0,0,[0.76441651]
0,0,0,0,0,[2.65868547]
0,0,0,0,0,[2.67609437]
0,0,0,0,0,[2.7776421]
0,0,0,0,0,[2.43252654]
0,0,0,0,0,[2.60549871]
0,0,0,0,0,[0.77502869]
0,0,0,0,0,[1.19174489]
0,0,0,0,0,[1.11509971]
0,0,0,0,0,[1.02791479]
0,0,0,0,0,[0.92471267]
0,0,0,0,0,[3.27683707]
0,0,0,0,0,[3.25356823]
0,0,0,0,0,[2.60572159]
0,0,0,0,0,[2.26560662]
0,0,0,0,0,[2.77503751]
0,0,0,0,0,[1.23178077]
0,0,0,0,0,[1.51198931]
0,0,0,0,0,[1.71422587]
0,0,0,0,0,[0.99821283]
0,0,0,0,0,[1.10127667]
0,0,0,0,0,[3.19148087]
0,0,0,0,0,[3.16251265]
0,0,0,0,0,[3.28319677]
0,0,0,0,0,[3.86406158]
0,0,0,0,0,[3.71037637]
