Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[-1.4784855]
0,0,0,0,0,[-0.92936413]
0,0,0,0,0,[-1.10650178]
0,0,0,0,0,[-1.42089494]
0,0,0,0,0,[-1.15729891]
0,0,0,0,0,[-0.75371026]
0,0,0,0,0,[-1.49789677]
0,0,0,0,0,[-1.36669333]
0,0,0,0,0,[-1.40487596]
0,0,0,0,0,[-1.3452843]
0,0,0,0,0,[0.47583326]
0,0,0,0,0,[-0.0697061]
0,0,0,0,0,[0.18569962]
0,0,0,0,0,[0.05921117]
0,0,0,0,0,[-0.23118042]
0,0,0,0,0,[-0.15754384]
0,0,0,0,0,[-0.42047233]
0,0,0,0,0,[0.01828579]
0,0,0,0,0,[-0.012462]
0,0,0,0,0,[0.01239878]
0,0,0,0,0,[0.20085939]
0,0,0,0,0,[0.59696193]
0,0,0,0,0,[0.58372305]
0,0,0,0,0,[0.8669307]
0,0,0,0,0,[0.45703455]
0,0,0,0,0,[0.89841087]
0,0,0,0,0,[0.42841065]
0,0,0,0,0,[-0.76645161]
0,0,0,0,0,[0.12666698]
0,0,0,0,0,[-0.36652312]
0,0,0,0,0,[0.67386436]
0,0,0,0,0,[1.15972982]
0,0,0,0,0,[0.54292429]
0,0,0,0,0,[0.74401363]
0,0,0,0,0,[1.06765928]
0,0,0,0,0,[0.77749914]
0,0,0,0,0,[1.33277003]
0,0,0,0,0,[0.90563109]
0,0,0,0,0,[0.83155388]
0,0,0,0,0,[0.97616893]
