Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[0.18455805]
0,0,0,0,0,[0.03316637]
0,0,0,0,0,[0.61732318]
0,0,0,0,0,[0.27273079]
0,0,0,0,0,[-0.235466]
0,0,0,0,0,[-0.76307975]
0,0,0,0,0,[-0.55951832]
0,0,0,0,0,[-0.48467952]
0,0,0,0,0,[-0.64491653]
0,0,0,0,0,[0.21072027]
0,0,0,0,0,[-0.11619476]
0,0,0,0,0,[-0.40286605]
0,0,0,0,0,[0.60482405]
0,0,0,0,0,[0.34664817]
0,0,0,0,0,[-0.04104749]
0,0,0,0,0,[-0.56368414]
0,0,0,0,0,[-0.78224607]
0,0,0,0,0,[-0.73729989]
0,0,0,0,0,[-0.72367054]
0,0,0,0,0,[-0.57660334]
0,0,0,0,0,[0.44334696]
0,0,0,0,0,[-0.18183055]
0,0,0,0,0,[0.79049363]
0,0,0,0,0,[1.00333341]
0,0,0,0,0,[0.467742]
0,0,0,0,0,[-0.36022332]
0,0,0,0,0,[-0.55320718]
0,0,0,0,0,[-0.74779372]
0,0,0,0,0,[-0.37743995]
0,0,0,0,0,[-0.72449833]
0,0,0,0,0,[1.18116716]
0,0,0,0,0,[0.51212309]
0,0,0,0,0,[0.50874347]
0,0,0,0,0,[1.33772336]
0,0,0,0,0,[0.69934301]
0,0,0,0,0,[-0.68828614]
0,0,0,0,0,[0.0533477]
0,0,0,0,0,[-0.7551411]
0,0,0,0,0,[-0.52977706]
0,0,0,0,0,[-0.20083742]
