Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[52.26006512]
0,0,0,0,0,[63.86445162]
0,0,0,0,0,[67.72046326]
0,0,0,0,0,[81.2472971]
0,0,0,0,0,[66.09969578]
0,0,0,0,0,[52.77089829]
0,0,0,0,0,[82.89074242]
0,0,0,0,0,[55.43388454]
0,0,0,0,0,[53.93038556]
0,0,0,0,0,[85.92141632]
0,0,0,0,0,[111.62063367]
0,0,0,0,0,[110.87293687]
0,0,0,0,0,[132.0774606]
0,0,0,0,0,[124.19492461]
0,0,0,0,0,[100.47063329]
0,0,0,0,0,[76.88019315]
0,0,0,0,0,[79.33883739]
0,0,0,0,0,[78.34022952]
0,0,0,0,0,[78.71974635]
0,0,0,0,0,[73.36922943]
0,0,0,0,0,[124.61763492]
0,0,0,0,0,[97.11478514]
0,0,0,0,0,[123.74067523]
0,0,0,0,0,[132.87062241]
0,0,0,0,0,[117.39999867]
0,0,0,0,0,[109.91449316]
0,0,0,0,0,[87.11461755]
0,0,0,0,0,[85.37686896]
0,0,0,0,0,[91.10924817]
0,0,0,0,0,[72.96477963]
0,0,0,0,0,[149.27230094]
0,0,0,0,0,[172.96432969]
0,0,0,0,0,[117.92791894]
0,0,0,0,0,[148.8604461]
0,0,0,0,0,[158.30066267]
0,0,0,0,0,[101.40425558]
0,0,0,0,0,[107.74137535]
0,0,0,0,0,[113.66291737]
0,0,0,0,0,[118.69187264]
0,0,0,0,0,[111.56705814]
