Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[48.61519266]
0,0,0,0,0,[50.76623835]
0,0,0,0,0,[51.53544982]
0,0,0,0,0,[50.26772175]
0,0,0,0,0,[46.47941615]
0,0,0,0,0,[48.42363979]
0,0,0,0,0,[50.27272551]
0,0,0,0,0,[48.21954887]
0,0,0,0,0,[48.45420436]
0,0,0,0,0,[50.76362379]
0,0,0,0,0,[62.85851437]
0,0,0,0,0,[51.13580217]
0,0,0,0,0,[66.01434787]
0,0,0,0,0,[63.57820595]
0,0,0,0,0,[55.61034078]
0,0,0,0,0,[58.36526661]
0,0,0,0,0,[53.50912597]
0,0,0,0,0,[62.11417628]
0,0,0,0,0,[62.75069038]
0,0,0,0,0,[59.09388462]
0,0,0,0,0,[64.07594159]
0,0,0,0,0,[60.69575073]
0,0,0,0,0,[67.43837112]
0,0,0,0,0,[67.19609582]
0,0,0,0,0,[65.03358352]
0,0,0,0,0,[68.95215457]
0,0,0,0,0,[65.1274159]
0,0,0,0,0,[56.63536359]
0,0,0,0,0,[60.88996311]
0,0,0,0,0,[60.86532329]
0,0,0,0,0,[72.96677075]
0,0,0,0,0,[70.09284142]
0,0,0,0,0,[68.64964637]
0,0,0,0,0,[70.09394187]
0,0,0,0,0,[70.94721495]
0,0,0,0,0,[66.97482062]
0,0,0,0,0,[71.78004581]
0,0,0,0,0,[67.04112373]
0,0,0,0,0,[71.48489208]
0,0,0,0,0,[71.61271913]
