Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[1.16738313]
0,0,0,0,0,[1.19114101]
0,0,0,0,0,[1.23200873]
0,0,0,0,0,[1.47141653]
0,0,0,0,0,[1.18174177]
0,0,0,0,0,[0.72391161]
0,0,0,0,0,[0.62102095]
0,0,0,0,0,[0.48559598]
0,0,0,0,0,[0.29379376]
0,0,0,0,0,[1.3477252]
0,0,0,0,0,[0.45232608]
0,0,0,0,0,[1.15089037]
0,0,0,0,0,[1.52414725]
0,0,0,0,0,[1.3613539]
0,0,0,0,0,[1.23288594]
0,0,0,0,0,[0.73236002]
0,0,0,0,0,[0.62153166]
0,0,0,0,0,[0.37736249]
0,0,0,0,0,[0.45324599]
0,0,0,0,0,[0.63734179]
0,0,0,0,0,[0.82232452]
0,0,0,0,0,[0.65827604]
0,0,0,0,0,[1.3343917]
0,0,0,0,0,[0.66318773]
0,0,0,0,0,[1.28584671]
0,0,0,0,0,[0.70842519]
0,0,0,0,0,[0.56751902]
0,0,0,0,0,[0.62118741]
0,0,0,0,0,[0.39745083]
0,0,0,0,0,[0.29531226]
0,0,0,0,0,[0.97680511]
0,0,0,0,0,[1.36159053]
0,0,0,0,0,[0.21302794]
0,0,0,0,0,[1.11411196]
0,0,0,0,0,[0.96065955]
0,0,0,0,0,[0.69217676]
0,0,0,0,0,[0.69090866]
0,0,0,0,0,[0.51985611]
0,0,0,0,0,[0.51374146]
0,0,0,0,0,[0.60622612]
