Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[0.47862448]
0,0,0,0,0,[0.47031011]
0,0,0,0,0,[0.46354175]
0,0,0,0,0,[0.46505538]
0,0,0,0,0,[0.47509442]
0,0,0,0,0,[0.49790199]
0,0,0,0,0,[0.52927912]
0,0,0,0,0,[0.51929271]
0,0,0,0,0,[0.53647544]
0,0,0,0,0,[0.48733588]
0,0,0,0,0,[0.51012083]
0,0,0,0,0,[0.4537478]
0,0,0,0,0,[0.4800447]
0,0,0,0,0,[0.4784737]
0,0,0,0,0,[0.47444031]
0,0,0,0,0,[0.50555542]
0,0,0,0,0,[0.53453712]
0,0,0,0,0,[0.53939356]
0,0,0,0,0,[0.53675848]
0,0,0,0,0,[0.4963325]
0,0,0,0,0,[0.47025755]
0,0,0,0,0,[0.49576176]
0,0,0,0,0,[0.49043185]
0,0,0,0,0,[0.46027445]
0,0,0,0,0,[0.50202042]
0,0,0,0,0,[0.48623004]
0,0,0,0,0,[0.53260864]
0,0,0,0,0,[0.53873369]
0,0,0,0,0,[0.54845739]
0,0,0,0,0,[0.5488628]
0,0,0,0,0,[0.45981484]
0,0,0,0,0,[0.48699354]
0,0,0,0,0,[0.49425683]
0,0,0,0,0,[0.48024168]
0,0,0,0,0,[0.5017212]
0,0,0,0,0,[0.53199923]
0,0,0,0,0,[0.55224674]
0,0,0,0,0,[0.55106088]
0,0,0,0,0,[0.53767594]
0,0,0,0,0,[0.50769839]
