Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[0.35173131]
0,0,0,0,0,[0.10595865]
0,0,0,0,0,[0.37628052]
0,0,0,0,0,[0.59480281]
0,0,0,0,0,[0.63405817]
0,0,0,0,0,[-0.09252248]
0,0,0,0,0,[0.0399177]
0,0,0,0,0,[0.09799733]
0,0,0,0,0,[8.27642818e-05]
0,0,0,0,0,[0.93082116]
0,0,0,0,0,[0.13915366]
0,0,0,0,0,[0.72522209]
0,0,0,0,0,[1.33144298]
0,0,0,0,0,[0.49782887]
0,0,0,0,0,[0.80555669]
0,0,0,0,0,[0.09631846]
0,0,0,0,0,[-0.11137953]
0,0,0,0,0,[-0.12816249]
0,0,0,0,0,[-0.06564587]
0,0,0,0,0,[0.10026613]
0,0,0,0,0,[0.16405286]
0,0,0,0,0,[0.33865109]
0,0,0,0,0,[1.15159007]
0,0,0,0,0,[-0.15890665]
0,0,0,0,0,[1.28189642]
0,0,0,0,0,[0.26392874]
0,0,0,0,0,[-0.21780024]
0,0,0,0,0,[-0.07510245]
0,0,0,0,0,[0.00230724]
0,0,0,0,0,[-0.15581825]
0,0,0,0,0,[0.86611254]
0,0,0,0,0,[1.11654819]
0,0,0,0,0,[0.86012427]
0,0,0,0,0,[0.41579321]
0,0,0,0,0,[1.31323345]
0,0,0,0,0,[0.04643492]
0,0,0,0,0,[-0.1785536]
0,0,0,0,0,[-0.15962809]
0,0,0,0,0,[-0.11408081]
0,0,0,0,0,[0.15316555]
