Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[0.34250334]
0,0,0,0,0,[-0.064076]
0,0,0,0,0,[0.2046453]
0,0,0,0,0,[-0.59052756]
0,0,0,0,0,[-0.27650819]
0,0,0,0,0,[-0.34223455]
0,0,0,0,0,[0.13329272]
0,0,0,0,0,[-0.52491681]
0,0,0,0,0,[2.22319617]
0,0,0,0,0,[-0.16808093]
0,0,0,0,0,[0.37922465]
0,0,0,0,0,[0.25183523]
0,0,0,0,0,[0.16888612]
0,0,0,0,0,[0.18270511]
0,0,0,0,0,[0.05462592]
0,0,0,0,0,[0.24229175]
0,0,0,0,0,[0.67519803]
0,0,0,0,0,[0.8766478]
0,0,0,0,0,[2.6062831]
0,0,0,0,0,[-0.00579137]
0,0,0,0,0,[-0.10611193]
0,0,0,0,0,[0.26926398]
0,0,0,0,0,[0.19505541]
0,0,0,0,0,[0.01844384]
0,0,0,0,0,[0.34548193]
0,0,0,0,0,[0.21781057]
0,0,0,0,0,[0.32825313]
0,0,0,0,0,[0.56111597]
0,0,0,0,0,[0.04926164]
0,0,0,0,0,[1.14129409]
0,0,0,0,0,[0.08939363]
0,0,0,0,0,[0.14351859]
0,0,0,0,0,[-0.01246843]
0,0,0,0,0,[0.13659538]
0,0,0,0,0,[0.19200184]
0,0,0,0,0,[0.01283608]
0,0,0,0,0,[1.0889628]
0,0,0,0,0,[0.6814791]
0,0,0,0,0,[0.50951993]
0,0,0,0,0,[0.8380924]
