Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[8.89252895]
0,0,0,0,0,[10.30216526]
0,0,0,0,0,[9.15312304]
0,0,0,0,0,[10.4228402]
0,0,0,0,0,[8.24396522]
0,0,0,0,0,[6.75179587]
0,0,0,0,0,[12.23427662]
0,0,0,0,0,[7.8386974]
0,0,0,0,0,[9.139338]
0,0,0,0,0,[11.22050639]
0,0,0,0,0,[11.36445699]
0,0,0,0,0,[14.14797222]
0,0,0,0,0,[15.30679276]
0,0,0,0,0,[15.55243369]
0,0,0,0,0,[10.35688845]
0,0,0,0,0,[13.06771158]
0,0,0,0,0,[11.33168726]
0,0,0,0,0,[13.02899404]
0,0,0,0,0,[12.77982239]
0,0,0,0,0,[13.26431387]
0,0,0,0,0,[14.9760264]
0,0,0,0,0,[13.87991699]
0,0,0,0,0,[15.45515972]
0,0,0,0,0,[15.63709767]
0,0,0,0,0,[15.37899725]
0,0,0,0,0,[15.89964117]
0,0,0,0,0,[14.16999685]
0,0,0,0,0,[11.06714343]
0,0,0,0,0,[15.25190881]
0,0,0,0,0,[11.73028458]
0,0,0,0,0,[18.16145904]
0,0,0,0,0,[16.7471584]
0,0,0,0,0,[15.28164862]
0,0,0,0,0,[18.14639511]
0,0,0,0,0,[19.59875994]
0,0,0,0,0,[13.07538543]
0,0,0,0,0,[16.69824272]
0,0,0,0,0,[16.087232]
0,0,0,0,0,[17.9875093]
0,0,0,0,0,[16.10930435]
