Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[-0.679502]
0,0,0,0,0,[-0.61167233]
0,0,0,0,0,[-0.91308714]
0,0,0,0,0,[-0.87183815]
0,0,0,0,0,[-0.46752173]
0,0,0,0,0,[0.0301687]
0,0,0,0,0,[-0.08639358]
0,0,0,0,0,[-0.3188554]
0,0,0,0,0,[-0.14179232]
0,0,0,0,0,[-0.75615966]
0,0,0,0,0,[-0.88788467]
0,0,0,0,0,[-0.59735932]
0,0,0,0,0,[-0.67384061]
0,0,0,0,0,[-0.61779545]
0,0,0,0,0,[-0.60696163]
0,0,0,0,0,[0.24688252]
0,0,0,0,0,[1.04665885]
0,0,0,0,0,[0.54733433]
0,0,0,0,0,[0.6547828]
0,0,0,0,0,[1.19115661]
0,0,0,0,0,[-0.86075539]
0,0,0,0,0,[-0.81461085]
0,0,0,0,0,[-0.70254539]
0,0,0,0,0,[0.00190835]
0,0,0,0,0,[-0.40707746]
0,0,0,0,0,[1.34240222]
0,0,0,0,0,[0.92934345]
0,0,0,0,0,[0.68435105]
0,0,0,0,0,[0.6214649]
0,0,0,0,0,[0.90408951]
0,0,0,0,0,[-0.72244423]
0,0,0,0,0,[-0.81740695]
0,0,0,0,0,[0.27971442]
0,0,0,0,0,[-0.55991083]
0,0,0,0,0,[-0.65328336]
0,0,0,0,0,[0.79124389]
0,0,0,0,0,[1.19516294]
0,0,0,0,0,[1.01677634]
0,0,0,0,0,[1.47176916]
0,0,0,0,0,[1.15753867]
