Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[-0.13422789]
0,0,0,0,0,[-0.23896315]
0,0,0,0,0,[-0.06199822]
0,0,0,0,0,[-0.39568768]
0,0,0,0,0,[0.21383693]
0,0,0,0,0,[-0.72886475]
0,0,0,0,0,[-0.05975577]
0,0,0,0,0,[0.21152718]
0,0,0,0,0,[-0.53033172]
0,0,0,0,0,[0.42375821]
0,0,0,0,0,[-0.16245528]
0,0,0,0,0,[0.1284142]
0,0,0,0,0,[0.06648997]
0,0,0,0,0,[0.54744893]
0,0,0,0,0,[-0.40104704]
0,0,0,0,0,[-0.33933673]
0,0,0,0,0,[-0.42332125]
0,0,0,0,0,[-0.3337995]
0,0,0,0,0,[-0.01667342]
0,0,0,0,0,[-0.18833781]
0,0,0,0,0,[-0.22572164]
0,0,0,0,0,[-0.22602015]
0,0,0,0,0,[0.86357925]
0,0,0,0,0,[-0.54688755]
0,0,0,0,0,[0.37663257]
0,0,0,0,0,[0.08653788]
0,0,0,0,0,[-0.34144884]
0,0,0,0,0,[-0.00216133]
0,0,0,0,0,[0.22491033]
0,0,0,0,0,[-0.62327294]
0,0,0,0,0,[-0.18320533]
0,0,0,0,0,[0.82365066]
0,0,0,0,0,[0.01417075]
0,0,0,0,0,[0.03247668]
0,0,0,0,0,[0.10769557]
0,0,0,0,0,[0.07508076]
0,0,0,0,0,[-0.3154579]
0,0,0,0,0,[-0.67495114]
0,0,0,0,0,[-0.23926486]
0,0,0,0,0,[0.01621686]
