Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[44.4678948]
0,0,0,0,0,[53.43364285]
0,0,0,0,0,[30.38298228]
0,0,0,0,0,[74.69105817]
0,0,0,0,0,[27.84103707]
0,0,0,0,0,[17.39929227]
0,0,0,0,0,[45.29401122]
0,0,0,0,0,[35.37309785]
0,0,0,0,0,[47.35960507]
0,0,0,0,0,[80.60314872]
0,0,0,0,0,[94.79371904]
0,0,0,0,0,[86.35900504]
0,0,0,0,0,[142.1337408]
0,0,0,0,0,[119.48878454]
0,0,0,0,0,[107.33010054]
0,0,0,0,0,[57.11709493]
0,0,0,0,0,[-2.62591124]
0,0,0,0,0,[42.03758394]
0,0,0,0,0,[32.3884601]
0,0,0,0,0,[14.39022979]
0,0,0,0,0,[126.75963484]
0,0,0,0,0,[100.54002466]
0,0,0,0,0,[196.99262904]
0,0,0,0,0,[159.0935606]
0,0,0,0,0,[112.73062026]
0,0,0,0,0,[68.17076195]
0,0,0,0,0,[36.8687985]
0,0,0,0,0,[7.38805918]
0,0,0,0,0,[38.05686678]
0,0,0,0,0,[13.74268769]
0,0,0,0,0,[205.35065113]
0,0,0,0,0,[179.07603096]
0,0,0,0,0,[143.21486297]
0,0,0,0,0,[195.57054847]
0,0,0,0,0,[145.42697317]
0,0,0,0,0,[24.67959561]
0,0,0,0,0,[62.70724748]
0,0,0,0,0,[41.40571898]
0,0,0,0,0,[49.02892113]
0,0,0,0,0,[58.90393704]
