Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[0.49527235]
0,0,0,0,0,[0.46237183]
0,0,0,0,0,[0.45425706]
0,0,0,0,0,[0.45957188]
0,0,0,0,0,[0.47194151]
0,0,0,0,0,[0.5197567]
0,0,0,0,0,[0.52228398]
0,0,0,0,0,[0.5377846]
0,0,0,0,0,[0.53419099]
0,0,0,0,0,[0.49117402]
0,0,0,0,0,[0.55828178]
0,0,0,0,0,[0.48694351]
0,0,0,0,0,[0.51955517]
0,0,0,0,0,[0.46576987]
0,0,0,0,0,[0.52199756]
0,0,0,0,0,[0.49337201]
0,0,0,0,0,[0.53379684]
0,0,0,0,0,[0.54812615]
0,0,0,0,0,[0.53680459]
0,0,0,0,0,[0.51861526]
0,0,0,0,0,[0.46545935]
0,0,0,0,0,[0.47167286]
0,0,0,0,0,[0.48458636]
0,0,0,0,0,[0.47542378]
0,0,0,0,0,[0.49791257]
0,0,0,0,0,[0.50879195]
0,0,0,0,0,[0.52014991]
0,0,0,0,0,[0.52764415]
0,0,0,0,0,[0.54171475]
0,0,0,0,0,[0.59919048]
0,0,0,0,0,[0.49920294]
0,0,0,0,0,[0.48505479]
0,0,0,0,0,[0.49730402]
0,0,0,0,0,[0.49881664]
0,0,0,0,0,[0.47430644]
0,0,0,0,0,[0.53597488]
0,0,0,0,0,[0.50840017]
0,0,0,0,0,[0.53892114]
0,0,0,0,0,[0.50667222]
0,0,0,0,0,[0.50669335]
