Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[8.44582204]
0,0,0,0,0,[9.06664102]
0,0,0,0,0,[9.85668004]
0,0,0,0,0,[9.28000256]
0,0,0,0,0,[7.67752651]
0,0,0,0,0,[8.76183914]
0,0,0,0,0,[10.24701247]
0,0,0,0,0,[8.2018945]
0,0,0,0,0,[8.665256]
0,0,0,0,0,[9.40891535]
0,0,0,0,0,[12.6396381]
0,0,0,0,0,[8.68330702]
0,0,0,0,0,[15.39824385]
0,0,0,0,0,[13.87706486]
0,0,0,0,0,[10.74877584]
0,0,0,0,0,[12.42891677]
0,0,0,0,0,[10.29707645]
0,0,0,0,0,[13.25190596]
0,0,0,0,0,[13.61908109]
0,0,0,0,0,[12.69606418]
0,0,0,0,0,[14.66511593]
0,0,0,0,0,[12.7477567]
0,0,0,0,0,[16.03653449]
0,0,0,0,0,[14.87437424]
0,0,0,0,0,[17.21859961]
0,0,0,0,0,[15.97027345]
0,0,0,0,0,[15.05353215]
0,0,0,0,0,[11.21585924]
0,0,0,0,0,[14.14789214]
0,0,0,0,0,[12.31532477]
0,0,0,0,0,[17.46741706]
0,0,0,0,0,[17.12245643]
0,0,0,0,0,[16.25646373]
0,0,0,0,0,[17.00165844]
0,0,0,0,0,[16.91705883]
0,0,0,0,0,[15.738086]
0,0,0,0,0,[17.11655534]
0,0,0,0,0,[15.71211866]
0,0,0,0,0,[17.0088913]
0,0,0,0,0,[17.13213036]
