scenario1,scenario2,scenario3,scenario4
2.908,2.648,2.956,2.866
0.735,0.651,0.714,0.606
0.258,0.274,0.258,0.277
29.873,26.271,31.212,24.679
6.562,6.567,6.214,6.173
1.298,1.138,1.262,1.201
51.837,35.031,44.35,34.839
0.481,0.373,0.479,0.362
3.421,3.518,3.582,3.409
0.582,0.543,0.559,0.547
19.396,18.369,19.357,20.286
0.304,0.325,0.317,0.34
3.914,3.511,3.603,3.438
0.615,0.576,0.582,0.559
21.356,20.468,21.176,21.249
0.283,0.291,0.272,0.285
4.364,3.921,4.058,3.818
2.988,2.37,2.845,2.477
0.377,0.317,0.373,0.301
0.44,0.431,0.452,0.426
91.239,78.071,91.055,86.221
62.019,56.692,59.508,62.407
2.564,1.777,2.555,1.701
0.052,0.052,0.053,0.056
0.093,0.099,0.09,0.104
43.303,29.307,43.669,29.279
2.12,2.542,2.113,2.541
1.613,1.761,1.556,1.809
0.214,0.279,0.221,0.309
0.225,0.264,0.218,0.281
46.583,50.584,52.59,51.132
33.727,35.122,36.602,39.935
1.026,1.196,1.045,1.265
0.053,0.049,0.052,0.054
0.081,0.091,0.081,0.091
16.271,22.252,15.916,21.405
2.581,2.56,2.581,2.587
1.707,1.786,1.674,1.862
0.218,0.19,0.2,0.191
0.273,0.267,0.294,0.263
62.728,51.888,63.713,56.871
37.716,40.284,37.341,39.23
1.333,1.259,1.258,1.298
0.057,0.049,0.056,0.049
0.082,0.113,0.08,0.112
19.145,21.288,17.624,20.594
