C,Epsilon,Omega,Kernel_alignment
0.0001,100.0,1000.0,0.8043142045566969
0.0001,100.0,1000.0,0.805157812016215
0.001,100.0,1000.0,0.8025310584065867
0.0001,100.0,1000.0,0.8048603636270975
0.0001,100.0,1000.0,0.8031061133830882
0.0001,100.0,1000.0,0.8055463238048369
0.0001,100.0,1000.0,0.8040290684381062
0.0001,100.0,1000.0,0.8045983378965421
0.0001,100.0,1000.0,0.8042027896231566
0.0001,100.0,1000.0,0.7996285642915991
0.0001,100.0,10000.0,0.7974452562643272
0.0001,100.0,1000.0,0.7971876859676701
0.0001,1000.0,1000.0,0.795106050411944
0.0001,100.0,1000.0,0.795459924971669
0.0001,100.0,1000.0,0.7981925975931671
0.0001,100.0,1000.0,0.8051749444050836
0.0001,100.0,1000.0,0.8027513367004412
0.0001,100.0,1000.0,0.8052812886780744
0.0001,100.0,1000.0,0.8040287043256977
0.0001,100.0,1000.0,0.8025911622721464
0.0001,100.0,1000.0,0.7967759788187517
0.0001,100.0,1000.0,0.7975569144168062
0.0001,1000.0,10000.0,0.7908377096329574
0.0001,100.0,1000.0,0.7969547821089176
0.0001,100.0,1000.0,0.7953599235564145
0.0001,100.0,1000.0,0.7997781949335007
0.0001,100.0,1000.0,0.8020267097693222
0.0001,100.0,1000.0,0.8032107035983875
0.0001,100.0,1000.0,0.8035575759367167
0.0001,100.0,1000.0,0.8035022671413518
0.0001,100.0,1000.0,0.7978495628562187
0.0001,100.0,1000.0,0.8014835293335093
0.01,100.0,1000.0,0.8069473312321319
0.0001,100.0,1000.0,0.7979099833642889
0.1,100.0,1000.0,0.7928755595892776
0.0001,100.0,1000.0,0.7992023387302808
0.0001,100.0,1000.0,0.7983626993744128
0.0001,100.0,1000.0,0.7999919610183971
0.0001,100.0,1000.0,0.7970443143818229
0.0001,100.0,1000.0,0.7964601160745673
