C,Epsilon,Omega,Kernel_alignment
0.1,1000.0,10000.0,0.934272978525863
0.1,1000.0,10000.0,0.9347642705483061
0.1,1000.0,10000.0,0.9329376815568301
0.1,1000.0,10000.0,0.9334638705633057
0.0001,10.0,10.0,0.9309045887433973
0.1,1000.0,10000.0,0.9339371555633652
0.1,1000.0,10000.0,0.932844903720229
0.0001,10.0,0.0001,0.9312952418409958
0.1,1000.0,10000.0,0.9317677069292867
0.1,1000.0,10000.0,0.931050252968403
0.0001,10.0,10.0,0.9304871879633617
0.0001,10.0,0.0001,0.9293247510585968
0.0001,10.0,1.0,0.9266672523122712
0.0001,100.0,1000.0,0.9266358566189865
0.0001,10.0,0.001,0.9279940806487034
0.1,1000.0,10000.0,0.9291466611344821
0.0001,10.0,0.0001,0.9289406245070699
0.1,1000.0,10000.0,0.9289993706080587
0.0001,100.0,0.1,0.9281430386222529
0.1,1000.0,10000.0,0.9285973125837704
0.0001,10.0,0.0001,0.9263953109394559
0.01,100.0,1000.0,0.9269726898459586
0.0001,10.0,1.0,0.926133896897935
0.0001,10.0,10.0,0.9266121056228579
0.1,1000.0,1000.0,0.9264205308519406
0.1,10.0,0.1,0.9264281879218371
0.0001,10.0,0.0001,0.9266115297997466
0.0001,10.0,1.0,0.9282052658390367
0.001,1000.0,10000.0,0.9279085015504189
0.0001,1000.0,10000.0,0.927608376208886
0.0001,1000.0,10000.0,0.9270199299805154
0.0001,10.0,0.0001,0.9307765176333415
0.01,100.0,10000.0,0.9298383171660483
0.0001,10.0,1.0,0.93206663836631
0.0001,10.0,0.1,0.9268934395404842
0.0001,10.0,0.0001,0.9267034755789783
0.0001,10.0,1.0,0.9267463726478747
0.0001,10.0,1.0,0.9264846081902066
0.1,10.0,0.0001,0.9261243499072089
0.01,10.0,1.0,0.9265296753172694
