C,Epsilon,Omega,Kernel_alignment
0.0001,10.0,10.0,0.2032327067075963
0.0001,10.0,10.0,0.20757092323589346
0.0001,10.0,10.0,0.20666733313995125
0.0001,10.0,10.0,0.2077388584997031
0.0001,10.0,10.0,0.2041306317659551
0.0001,10.0,1.0,0.19715637441074998
0.0001,10.0,1.0,0.19732251741951254
0.0001,10.0,10.0,0.207120136888007
0.0001,10.0,1.0,0.19692704285171134
0.01,10.0,10.0,0.22921573690897035
0.0001,10.0,10.0,0.20681876353683262
0.0001,10.0,1.0,0.19530638778194892
0.0001,10.0,1.0,0.19886134598666882
0.0001,10.0,10.0,0.19813563137566106
0.0001,10.0,10.0,0.20169381330213756
0.0001,10.0,10.0,0.20234474336519798
0.0001,10.0,1.0,0.20025881596675377
0.0001,10.0,10.0,0.20349812583959814
0.0001,10.0,10.0,0.20378052224452856
0.0001,10.0,1.0,0.19657661677464028
0.0001,10.0,10.0,0.20491968116286655
0.0001,10.0,10.0,0.2033536619787335
0.0001,10.0,1.0,0.19310056239939485
0.0001,10.0,10.0,0.21202936345338183
0.0001,10.0,1.0,0.1928783784453528
0.0001,10.0,10.0,0.2044812848590587
0.0001,10.0,1.0,0.2007860703964114
0.0001,10.0,10.0,0.20318880611413748
0.0001,10.0,10.0,0.2023072638707724
0.0001,10.0,10.0,0.20188948675105972
0.0001,10.0,1.0,0.19510554487999712
0.0001,10.0,1.0,0.18685138883745364
0.0001,10.0,1.0,0.19036469396947917
0.0001,10.0,10.0,0.2173867192080245
0.0001,10.0,1.0,0.19129624362683975
0.0001,10.0,10.0,0.20764173297925795
0.0001,10.0,1.0,0.2050718146062528
0.0001,10.0,10.0,0.2048992642465853
0.0001,10.0,1.0,0.20273337493494462
0.0001,10.0,1.0,0.2023506193463097
