C,Epsilon,Omega,Kernel_alignment
0.0001,10.0,100.0,0.29983315126024407
0.0001,10.0,100.0,0.2977960826290608
0.0001,10.0,100.0,0.3088048636042018
0.0001,10.0,100.0,0.3034938024753119
0.0001,10.0,100.0,0.2980480592126054
0.0001,10.0,100.0,0.2927278169044422
0.0001,10.0,10.0,0.2934522379989693
0.0001,10.0,100.0,0.29711975407913926
0.0001,10.0,100.0,0.2935931733007721
0.0001,10.0,100.0,0.29905689998219803
0.0001,10.0,100.0,0.3170271218064338
0.0001,10.0,100.0,0.31710397712122085
0.0001,10.0,100.0,0.31097998690951656
0.0001,10.0,100.0,0.3145634383561123
0.0001,10.0,100.0,0.3170478268056031
0.0001,10.0,100.0,0.31606860801058595
0.0001,10.0,100.0,0.3011558140755914
0.0001,10.0,100.0,0.3102122597220272
0.0001,10.0,100.0,0.31117546010820935
0.0001,10.0,100.0,0.31548159143967175
0.0001,10.0,100.0,0.3053096047553071
0.0001,10.0,100.0,0.3108545226838589
0.0001,10.0,100.0,0.31111677358206896
0.0001,10.0,100.0,0.2980550271914459
0.0001,10.0,100.0,0.3143832064504558
0.0001,10.0,100.0,0.3146366609058582
0.0001,10.0,100.0,0.3124453526685385
0.0001,10.0,100.0,0.30804434340266357
0.0001,10.0,100.0,0.3098477534131859
0.0001,10.0,100.0,0.308015577568128
0.0001,10.0,100.0,0.30465007655026605
0.0001,10.0,100.0,0.29481274732270546
0.0001,10.0,100.0,0.3095338440597686
0.0001,10.0,100.0,0.30539480939928587
0.0001,10.0,10.0,0.3010395607160927
0.0001,10.0,100.0,0.3069576279655236
0.0001,10.0,100.0,0.30513628757596056
0.0001,10.0,100.0,0.30866070314198096
0.0001,10.0,100.0,0.3052434576836793
0.0001,10.0,100.0,0.3069582426105509
