C,Epsilon,Omega,Kernel_alignment
0.0001,1.0,0.0001,0.7611964132116797
0.0001,1.0,0.0001,0.7640718213885974
0.0001,1.0,0.0001,0.7629986305665545
0.0001,1.0,0.001,0.7659590192688908
0.0001,1.0,0.0001,0.7656910171354051
0.0001,1.0,0.0001,0.763659222436
0.1,1000.0,100.0,0.7649314003958732
0.01,10.0,10000.0,0.7641138013056271
0.001,10.0,10000.0,0.7652848213768981
0.01,10.0,10000.0,0.7604069551717724
0.1,10.0,10000.0,0.758604096188183
0.0001,10.0,10000.0,0.7632547516574183
0.0001,1000.0,100.0,0.7536590484389072
0.1,1000.0,10000.0,0.7553449246582544
0.1,10.0,10000.0,0.7640550834317866
0.0001,1.0,0.001,0.762200535104455
0.0001,10.0,10000.0,0.7594702244849232
0.1,10.0,10000.0,0.7617669481681512
0.1,10.0,10000.0,0.7593185670857852
0.1,1000.0,100.0,0.7605416381634984
0.1,10.0,10000.0,0.7646024386988112
0.1,10.0,10000.0,0.760267103037507
0.0001,10.0,10000.0,0.7530552222615375
0.1,10.0,10000.0,0.7632297422942297
0.0001,10.0,10000.0,0.7559628374359103
0.001,1000.0,100.0,0.7597078556330937
0.01,10.0,10000.0,0.7587104033891824
0.1,10.0,10000.0,0.7582924676284613
0.1,10.0,10000.0,0.7574861036247322
0.1,10.0,10000.0,0.7597488373638772
0.1,10.0,10000.0,0.7569181871198952
0.0001,10.0,10000.0,0.7590923592540777
0.01,10.0,10000.0,0.7619262906081038
0.1,10.0,10000.0,0.7611208013970041
0.0001,1.0,0.001,0.75278372547748
0.1,10.0,10000.0,0.7567376498805181
0.01,10.0,10000.0,0.7573382245734597
0.0001,10.0,10000.0,0.7554973477315882
0.1,10.0,10000.0,0.7566096278475507
0.1,10.0,10000.0,0.7596936484683335
