C,Epsilon,Omega,Kernel_alignment
0.001,100.0,1000.0,0.9301302873530022
0.1,1000.0,10.0,0.9307103860197963
0.001,100.0,1000.0,0.9272862894994757
0.0001,100.0,1000.0,0.9269313987350746
0.1,100.0,100.0,0.9265121810664758
0.0001,100.0,1000.0,0.9301366471110171
0.0001,100.0,1000.0,0.9293679040170696
0.0001,100.0,1000.0,0.9264919185291669
0.0001,100.0,1000.0,0.9266000150089069
0.1,1000.0,100.0,0.9272161712947556
0.1,1000.0,0.0001,0.9231190181801346
0.0001,100.0,1000.0,0.9238969874181595
0.1,100.0,100.0,0.9221798639994397
0.1,1000.0,0.001,0.9226216619671956
0.0001,100.0,1000.0,0.9231819438036536
0.0001,100.0,1000.0,0.9258971135358214
0.0001,100.0,0.1,0.9244138551696395
0.0001,100.0,1000.0,0.9244359063451044
0.0001,100.0,1000.0,0.9234770027468675
0.0001,100.0,1000.0,0.9238110925038536
0.0001,100.0,1000.0,0.922349107400068
0.0001,100.0,1000.0,0.9226097701448631
0.1,100.0,100.0,0.922040876361102
0.1,100.0,100.0,0.9236057031344643
0.0001,100.0,1000.0,0.9225974562857638
0.0001,100.0,1000.0,0.9218843314869238
0.0001,100.0,1000.0,0.9222420800543298
0.0001,100.0,0.0001,0.9233863113899062
0.0001,100.0,1000.0,0.9233086376549543
0.0001,100.0,0.1,0.923170949774614
0.1,1000.0,0.1,0.9243164369369932
0.0001,100.0,1000.0,0.9243462785059156
0.1,100.0,100.0,0.9264152320152537
0.0001,100.0,1000.0,0.9248686265116857
0.1,100.0,100.0,0.9259071078203235
0.0001,100.0,1000.0,0.9215184366548471
0.0001,100.0,1000.0,0.921619458201463
0.1,100.0,100.0,0.9215611140009831
0.0001,100.0,1000.0,0.921456677347973
0.0001,100.0,1000.0,0.9215615329900556
