C,Epsilon,Omega,Kernel_alignment
0.0001,10.0,1000.0,0.8085355506507959
0.0001,10.0,1000.0,0.8097210549362557
0.0001,10.0,1000.0,0.8082396856216033
0.0001,10.0,1000.0,0.8113291341782339
0.0001,10.0,10000.0,0.8092639655930982
0.0001,10.0,1000.0,0.8093570835305279
0.0001,10.0,1000.0,0.8076470187993952
0.0001,10.0,1000.0,0.8105550792117137
0.0001,10.0,1000.0,0.8116956054305586
0.0001,10.0,1000.0,0.8071821403851384
0.0001,10.0,1000.0,0.8047615813336471
0.0001,10.0,1000.0,0.8041869863979875
0.0001,10.0,1000.0,0.8014558223364002
0.0001,10.0,1000.0,0.8041073231872254
0.0001,10.0,1000.0,0.8061755345538554
0.0001,10.0,1000.0,0.8068839499374983
0.0001,10.0,1000.0,0.8072579662749035
0.0001,10.0,1000.0,0.8092999586453423
0.0001,10.0,1000.0,0.8084733912489626
0.0001,10.0,1000.0,0.8066220295115849
0.0001,10.0,1000.0,0.8040412290636352
0.0001,10.0,1000.0,0.8054871015563189
0.0001,10.0,1000.0,0.7992964695927635
0.0001,10.0,1000.0,0.8024621751216287
0.0001,10.0,10000.0,0.8020031924354222
0.0001,10.0,1000.0,0.8049832612151834
0.0001,10.0,1000.0,0.8061736754818741
0.0001,10.0,1000.0,0.8089010018831913
0.0001,10.0,1000.0,0.8088407442128132
0.0001,10.0,1000.0,0.8083457431135912
0.0001,10.0,1000.0,0.8039286892502101
0.001,10.0,10000.0,0.8107939865106824
0.0001,10.0,1000.0,0.8175605376947432
0.0001,10.0,1000.0,0.8034968751411106
0.0001,10.0,1000.0,0.7985554876353439
0.0001,10.0,1000.0,0.8032305623044466
0.0001,10.0,1000.0,0.8045021826109463
0.0001,10.0,1000.0,0.8041737331163753
0.0001,10.0,1000.0,0.801506318703114
0.0001,10.0,10000.0,0.8026928569877045
