C,Epsilon,Omega,Kernel_alignment
0.0001,100.0,1000.0,0.9161671457086684
0.0001,100.0,1000.0,0.9145293928673075
0.0001,100.0,1000.0,0.9125760952354472
0.0001,100.0,1000.0,0.913787956450413
0.0001,100.0,1000.0,0.913193346096908
0.0001,100.0,1000.0,0.9128023988038596
0.0001,100.0,1000.0,0.913184172560518
0.0001,100.0,1000.0,0.9131504099792837
0.0001,100.0,1000.0,0.9151222795598897
0.0001,10.0,0.0001,0.9152466782948184
0.0001,100.0,1000.0,0.9082119173824814
0.0001,100.0,1000.0,0.9096922229189924
0.0001,100.0,1000.0,0.9067631064504748
0.0001,10.0,0.1,0.9072492805088183
0.0001,100.0,1000.0,0.9084382373094924
0.0001,100.0,1000.0,0.90895702352923
0.0001,100.0,1000.0,0.9110856146207769
0.0001,100.0,1000.0,0.9099668343750655
0.0001,100.0,1000.0,0.9097116442790214
0.0001,100.0,1000.0,0.9087854134319518
0.0001,100.0,1000.0,0.9065927222177137
0.0001,100.0,1000.0,0.9074988097705183
0.0001,100.0,1000.0,0.9064412784718524
0.0001,100.0,1000.0,0.906449310495433
0.0001,100.0,1000.0,0.9068150118152134
0.0001,100.0,1000.0,0.9062447444290856
0.0001,100.0,1000.0,0.9072509672243408
0.0001,100.0,1000.0,0.9110304080725545
0.0001,100.0,1000.0,0.90962813094534
0.0001,100.0,1000.0,0.909858029916342
0.0001,100.0,1000.0,0.9091222555694835
0.0001,100.0,1000.0,0.9142007876043928
0.0001,100.0,1000.0,0.9134164704522896
0.0001,100.0,1000.0,0.9121247553192857
0.0001,10.0,100.0,0.9098606808890808
0.0001,100.0,1000.0,0.9063792258213551
0.0001,100.0,1000.0,0.9073994766879911
0.0001,100.0,1000.0,0.9063787400697405
0.0001,100.0,1000.0,0.9061678609915181
0.0001,100.0,1000.0,0.9070412079590952
