C,Epsilon,Omega,Kernel_alignment
0.0001,10.0,10.0,0.2584943278921488
0.1,1.0,10.0,0.2752393711960875
0.0001,10.0,10.0,0.264752949685608
0.0001,10.0,10.0,0.2677439182968421
0.0001,10.0,10.0,0.26095966261414527
0.0001,10.0,10.0,0.25949285814163753
0.0001,10.0,10.0,0.2928019550926765
0.0001,10.0,10.0,0.25988895164461545
0.0001,10.0,10.0,0.2647001931571421
0.0001,10.0,100.0,0.2681433091932725
0.0001,10.0,10.0,0.2813596603041371
0.0001,10.0,10.0,0.2762704216481763
0.0001,10.0,10.0,0.27484819068960986
0.01,1.0,100.0,0.27772989629251904
0.0001,10.0,1.0,0.293329961078234
0.0001,10.0,0.1,0.27492266084678957
0.0001,10.0,0.1,0.2926814872311126
0.0001,10.0,10.0,0.29403699192855887
0.0001,10.0,10.0,0.2909172099649282
0.0001,10.0,0.01,0.2778145068272779
0.0001,10.0,100.0,0.28567029635401703
0.0001,10.0,100.0,0.2835675699637459
0.0001,10.0,10.0,0.27415577161546234
0.0001,10.0,10.0,0.28471767522210367
0.0001,10.0,0.1,0.2754085267187408
0.0001,10.0,10.0,0.27959119816789185
0.0001,1.0,100.0,0.2768400000290673
0.0001,10.0,0.1,0.28628714948967093
0.0001,1.0,10.0,0.2833045766763229
0.0001,10.0,10.0,0.28628246416395003
0.0001,1.0,100.0,0.2739793735790478
0.0001,10.0,10.0,0.27491724297874975
0.0001,10.0,1.0,0.2751930791379044
0.0001,10.0,10.0,0.2753468020955949
0.0001,10.0,1.0,0.277195497204916
0.0001,10.0,100.0,0.284827141125015
0.0001,10.0,1.0,0.2716631460094226
0.0001,10.0,10.0,0.2735634887761313
0.0001,10.0,1.0,0.2722613439601652
0.0001,10.0,1.0,0.27164147727656535
