C,Epsilon,Omega,Kernel_alignment
0.0001,1.0,10.0,0.269410653106404
0.0001,1.0,10.0,0.2686666828139385
0.0001,1.0,10.0,0.2720973982363808
0.0001,1.0,10.0,0.27148534914267325
0.0001,1.0,10.0,0.2713505840688359
0.1,10.0,100.0,0.27097553311136635
0.1,1.0,100.0,0.26422478721606163
0.1,1.0,0.0001,0.2870042228208851
0.1,1.0,10.0,0.2701671777545573
0.0001,1.0,10.0,0.27345384380775434
0.0001,1.0,10.0,0.26791305279347283
0.0001,1.0,10.0,0.2671683348027437
0.1,1.0,100.0,0.2696869988098201
0.0001,10.0,100.0,0.27303477046911717
0.0001,1.0,100.0,0.2706394315049946
0.01,1.0,100.0,0.2819685994462161
0.1,10.0,100.0,0.2627657634179034
0.0001,1.0,1.0,0.26480970099930584
0.0001,1.0,10.0,0.2685960814401758
0.1,1.0,1.0,0.2651962338595367
0.0001,1.0,100.0,0.2661818633465481
0.01,1.0,100.0,0.266697527529066
0.1,10.0,0.01,0.2560826722064767
0.0001,1.0,10.0,0.2766423427848318
0.0001,1.0,0.1,0.26338486818016976
0.1,1.0,100.0,0.2790341363867242
0.0001,1.0,10.0,0.2632984682796879
0.0001,1.0,10.0,0.2661822210953283
0.0001,1.0,10.0,0.2737334515388022
0.0001,1.0,10.0,0.2629726440731692
0.0001,1.0,10.0,0.26294545273441605
0.1,10.0,0.1,0.25561502080376175
0.001,1.0,10.0,0.2631097493512162
0.0001,10.0,100.0,0.30168597810706105
0.0001,1.0,10.0,0.2613733920445822
0.0001,1.0,10.0,0.2811393213571797
0.0001,1.0,10.0,0.2719454595965785
0.0001,1.0,10.0,0.2766987456570257
0.0001,1.0,10.0,0.2715476863946149
0.0001,1.0,10.0,0.2687815027168865
