C,Epsilon,Omega,Kernel_alignment
0.01,100.0,1000.0,0.7672961965689999
0.01,100.0,1000.0,0.7667854415942199
0.001,100.0,1000.0,0.7649413526718876
0.001,100.0,1000.0,0.7668557936627498
0.0001,100.0,100.0,0.7649294468575961
0.0001,100.0,10000.0,0.7695014773496702
0.01,100.0,1000.0,0.7677877690888302
0.01,100.0,1000.0,0.7701434143883198
0.01,100.0,1000.0,0.7713506329075616
0.01,100.0,1000.0,0.7647749016177122
0.0001,10.0,100.0,0.7600801156503073
0.1,100.0,1000.0,0.7643657091686964
0.01,100.0,1000.0,0.757089508513015
0.001,100.0,1000.0,0.7582190089993898
0.01,100.0,1000.0,0.7599544404242159
0.01,100.0,1000.0,0.7664927418721011
0.01,100.0,1000.0,0.7651259442368827
0.1,100.0,100.0,0.7694373928117868
0.01,100.0,1000.0,0.7681072802465922
0.0001,100.0,1000.0,0.7672876620129597
0.01,100.0,1000.0,0.7595164015449432
0.0001,100.0,1000.0,0.7614892874696437
0.01,100.0,1000.0,0.7537021168096082
0.001,100.0,1000.0,0.7617154928556472
0.01,100.0,1000.0,0.7567536432440022
0.1,100.0,100.0,0.7631792470807166
0.1,100.0,1000.0,0.766809331707677
0.0001,100.0,1000.0,0.7666445064194931
0.01,100.0,1000.0,0.768237153223698
0.0001,100.0,1000.0,0.7678269991818756
0.1,100.0,100.0,0.7602335361665619
0.01,100.0,1000.0,0.762833522428097
0.01,100.0,1000.0,0.7739956498056328
0.01,100.0,1000.0,0.7662459535194399
0.01,100.0,1000.0,0.7530113814412124
0.0001,100.0,100.0,0.7616591947264002
0.0001,100.0,1000.0,0.7613864821964812
0.01,100.0,1000.0,0.7635250356195264
0.0001,100.0,1000.0,0.7609306184078978
0.0001,100.0,1000.0,0.7604615114446911
