C,Epsilon,Omega,Kernel_alignment
0.0001,1000.0,1000.0,0.7419832944902881
0.0001,1000.0,1000.0,0.743943908919652
0.0001,1000.0,1000.0,0.7417874788028473
0.0001,100.0,100.0,0.7439147748529872
0.0001,1000.0,1000.0,0.7447055121674279
0.0001,1000.0,1000.0,0.7360811833527785
0.0001,1000.0,1000.0,0.7323656360315569
0.0001,1000.0,1000.0,0.7352072610570926
0.0001,1000.0,1000.0,0.7343443543031154
0.0001,1000.0,1000.0,0.7342343672739128
0.0001,1000.0,1000.0,0.7451972185623595
0.0001,1000.0,1000.0,0.7377137560109777
0.0001,1000.0,1000.0,0.7432667280009654
0.0001,100.0,100.0,0.7429208532237601
0.0001,1000.0,1000.0,0.7432237693920697
0.0001,1000.0,1000.0,0.7348921128634042
0.0001,1000.0,1000.0,0.7278574093094392
0.0001,100.0,100.0,0.7251729823052687
0.1,1000.0,100.0,0.7250432441432988
0.0001,1000.0,1000.0,0.7337726246036105
0.0001,1000.0,1000.0,0.7427439701257895
0.0001,100.0,100.0,0.7428105660667741
0.0001,1000.0,1000.0,0.7434749130736028
0.0001,1000.0,1000.0,0.7415259891655818
0.0001,100.0,100.0,0.7415532086921832
0.0001,1000.0,1000.0,0.7362142246092735
0.0001,1000.0,100.0,0.7259660622496913
0.1,1000.0,100.0,0.7274621837267315
0.0001,100.0,100.0,0.7300931744796222
0.0001,1000.0,100.0,0.7249656226852409
0.0001,100.0,100.0,0.7399158452927347
0.0001,100.0,100.0,0.7386620798352262
0.0001,1000.0,1000.0,0.7405284322524845
0.0001,100.0,100.0,0.740302668286572
0.0001,1000.0,1000.0,0.7389815264730871
0.1,1000.0,100.0,0.7419747583031191
0.1,100.0,100.0,0.7318682832516309
0.0001,1000.0,100.0,0.7373489581614857
0.1,1000.0,100.0,0.7303411864297382
0.1,100.0,100.0,0.7309215218395785
