Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Whole_set
40.0,40.0,32.0,28.0,28.0,32.0,28.0,28.0,40.0,28.0,28.0,27.0,28.0,24.0,28.0,28.0,28.0,2.0,3.0,28.0,28.0,32.0,36.0,32.0,32.0,40.0,40.0,39.0,28.0,29.0,28.0,28.0,28.0,31.0,32.0,31.0,28.0,28.0,40.0,0.0
40.0,40.0,39.0,37.0,37.0,39.0,39.0,37.0,40.0,37.0,37.0,36.0,37.0,33.0,37.0,37.0,37.0,1.0,9.0,37.0,38.0,40.0,39.0,39.0,39.0,40.0,40.0,40.0,37.0,37.0,36.0,37.0,37.0,39.0,40.0,37.0,33.0,37.0,40.0,0.0
40.0,40.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,40.0,17.0,39.0,40.0,40.0,40.0,39.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,40.0,0.0
40.0,40.0,1.0,4.0,5.0,5.0,6.0,5.0,18.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,40.0,5.0,40.0,29.0,40.0,8.0,40.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,40.0,0.0
40.0,40.0,0.0,0.0,0.0,5.0,5.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,2.0,40.0,5.0,40.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
1.0,40.0,1.0,0.0,1.0,2.0,4.0,1.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,1.0,40.0,1.0,3.0,1.0,39.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0
40.0,40.0,29.0,28.0,28.0,29.0,28.0,28.0,40.0,28.0,27.0,28.0,28.0,21.0,28.0,28.0,28.0,4.0,4.0,28.0,28.0,30.0,35.0,29.0,31.0,40.0,40.0,38.0,28.0,28.0,27.0,28.0,28.0,29.0,31.0,28.0,26.0,27.0,40.0,0.0
40.0,40.0,40.0,39.0,4.0,4.0,38.0,4.0,29.0,2.0,2.0,2.0,4.0,4.0,38.0,5.0,4.0,1.0,1.0,39.0,4.0,36.0,39.0,38.0,40.0,39.0,40.0,40.0,36.0,11.0,4.0,4.0,14.0,40.0,39.0,38.0,4.0,4.0,40.0,0.0
40.0,40.0,40.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,27.0,1.0,40.0,1.0,40.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.0,40.0,0.0
40.0,40.0,35.0,35.0,35.0,35.0,35.0,35.0,40.0,35.0,9.0,34.0,34.0,10.0,35.0,35.0,35.0,28.0,32.0,35.0,35.0,38.0,39.0,35.0,36.0,40.0,40.0,39.0,34.0,35.0,7.0,35.0,35.0,35.0,35.0,35.0,3.0,9.0,40.0,0.0
