Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Whole_set
38.0,40.0,26.0,23.0,26.0,30.0,29.0,6.0,33.0,27.0,26.0,26.0,26.0,13.0,30.0,29.0,28.0,24.0,23.0,28.0,27.0,26.0,30.0,26.0,27.0,26.0,30.0,26.0,30.0,28.0,27.0,18.0,28.0,28.0,29.0,26.0,26.0,26.0,30.0,24.0
17.0,40.0,17.0,17.0,17.0,39.0,14.0,11.0,40.0,17.0,7.0,17.0,17.0,18.0,20.0,29.0,17.0,18.0,18.0,19.0,17.0,17.0,17.0,18.0,17.0,18.0,17.0,36.0,17.0,17.0,17.0,1.0,17.0,17.0,17.0,17.0,17.0,17.0,40.0,17.0
11.0,7.0,11.0,10.0,11.0,11.0,5.0,7.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,40.0,8.0,11.0,11.0,11.0,11.0,33.0,11.0,10.0,6.0,9.0,11.0,9.0,9.0,11.0,4.0,6.0,40.0,3.0
13.0,13.0,14.0,26.0,21.0,21.0,13.0,12.0,24.0,33.0,33.0,33.0,33.0,33.0,24.0,31.0,33.0,33.0,33.0,33.0,33.0,33.0,13.0,33.0,20.0,33.0,19.0,40.0,16.0,19.0,13.0,13.0,33.0,14.0,18.0,13.0,14.0,13.0,40.0,3.0
25.0,40.0,35.0,37.0,12.0,38.0,1.0,2.0,39.0,37.0,26.0,35.0,23.0,38.0,38.0,39.0,38.0,38.0,38.0,38.0,38.0,38.0,16.0,38.0,21.0,38.0,37.0,40.0,9.0,34.0,2.0,2.0,38.0,28.0,34.0,0.0,2.0,0.0,40.0,37.0
0.0,36.0,1.0,4.0,1.0,2.0,0.0,0.0,14.0,11.0,1.0,3.0,1.0,39.0,2.0,39.0,39.0,39.0,39.0,29.0,39.0,39.0,0.0,37.0,0.0,4.0,0.0,40.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0
26.0,40.0,24.0,21.0,24.0,40.0,24.0,6.0,40.0,24.0,22.0,24.0,24.0,25.0,25.0,25.0,23.0,24.0,24.0,26.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,37.0,24.0,24.0,24.0,2.0,25.0,24.0,24.0,24.0,24.0,22.0,40.0,24.0
26.0,40.0,40.0,40.0,40.0,24.0,40.0,39.0,36.0,40.0,25.0,38.0,38.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,26.0,40.0,40.0,35.0,40.0,40.0,40.0,39.0,35.0,40.0,40.0,38.0,40.0,39.0
10.0,9.0,10.0,4.0,7.0,4.0,5.0,1.0,4.0,9.0,6.0,8.0,10.0,8.0,1.0,10.0,10.0,2.0,8.0,2.0,10.0,40.0,10.0,5.0,10.0,9.0,10.0,9.0,10.0,10.0,4.0,2.0,2.0,10.0,10.0,10.0,9.0,10.0,40.0,2.0
29.0,40.0,29.0,29.0,27.0,33.0,28.0,3.0,38.0,29.0,3.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,28.0,29.0,29.0,29.0,33.0,29.0,29.0,29.0,10.0,29.0,29.0,29.0,29.0,27.0,27.0,40.0,29.0
