Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Green_BBCH31,Red_BBCH31,RedEdge_BBCH31,NIR_BBCH31,DVI_BBCH31,NDVI_BBCH31,RVI_BBCH31,mSR_BBCH31,TNDVI_BBCH31,RDVI_BBCH31,SAVI_BBCH31,OSAVI_BBCH31,MSAVI2_BBCH31,gDVI_BBCH31,gNDVI_BBCH31,gRDVI_BBCH31,mSR_G_BBCH31,GSAVI_BBCH31,MGSAVI_BBCH31,NGI_BBCH31,GWDRVI_BBCH31,CI_G_BBCH31,CI_RE_BBCH31,TCARI_BBCH31,MCARI1_BBCH31,MCARI2_BBCH31,MTCARI_BBCH31,TCARIOSAVI_BBCH31,REDVI_BBCH31,NDRE_BBCH31,RERDVI_BBCH31,NNIR_BBCH31,REGNDVI_BBCH31,REWDRVI_BBCH31,MSR_RE_BBCH31,MEVI_BBCH31,RESAVI_BBCH31,MRESAVI_BBCH31,MRETVI_BBCH31,Green_BBCH45,Red_BBCH45,RedEdge_BBCH45,NIR_BBCH45,DVI_BBCH45,NDVI_BBCH45,RVI_BBCH45,mSR_BBCH45,TNDVI_BBCH45,RDVI_BBCH45,SAVI_BBCH45,OSAVI_BBCH45,MSAVI2_BBCH45,gDVI_BBCH45,gNDVI_BBCH45,gRDVI_BBCH45,mSR_G_BBCH45,GSAVI_BBCH45,MGSAVI_BBCH45,NGI_BBCH45,GWDRVI_BBCH45,CI_G_BBCH45,CI_RE_BBCH45,TCARI_BBCH45,MCARI1_BBCH45,MCARI2_BBCH45,MTCARI_BBCH45,TCARIOSAVI_BBCH45,REDVI_BBCH45,NDRE_BBCH45,RERDVI_BBCH45,NNIR_BBCH45,REGNDVI_BBCH45,REWDRVI_BBCH45,MSR_RE_BBCH45,MEVI_BBCH45,RESAVI_BBCH45,MRESAVI_BBCH45,MRETVI_BBCH45,Whole_set
0.856,1.0,0.16,0.152,0.166,0.345,0.256,0.253,0.369,0.133,0.111,0.133,0.135,0.069,0.195,0.093,0.143,0.072,0.068,0.224,0.142,0.154,0.131,0.599,0.332,0.354,0.663,0.372,0.163,0.123,0.081,0.105,0.23,0.13,0.129,0.27,0.079,0.097,0.478,0.7,0.538,0.526,0.335,0.188,0.159,0.072,0.068,0.186,0.068,0.08,0.066,0.108,0.19,0.079,0.122,0.071,0.17,0.182,0.109,0.073,0.122,0.232,0.564,0.145,0.245,0.524,0.112,0.232,0.237,0.161,0.085,0.113,0.23,0.23,0.329,0.157,0.169,0.47,0.887,0.648,0.333,0.223,0.188,0.661,0.167,0.256,0.694,0.218,0.241,0.3,0.176,0.16,0.326,0.076,0.124,0.203,0.164,0.387,0.13,0.074,0.209,0.082,0.095,0.217,0.299,0.139,0.079,0.245,0.137,0.27,0.405,0.215,0.222,0.285,0.161,0.119,0.444,0.0
0.746,0.804,0.315,0.32,0.375,0.478,0.478,0.452,0.49,0.345,0.324,0.337,0.355,0.273,0.35,0.332,0.38,0.27,0.272,0.362,0.394,0.444,0.318,0.666,0.549,0.529,0.626,0.548,0.357,0.305,0.282,0.286,0.408,0.316,0.314,0.383,0.278,0.295,0.664,0.911,0.611,0.674,0.537,0.393,0.285,0.334,0.283,0.294,0.263,0.281,0.254,0.322,0.384,0.279,0.387,0.323,0.332,0.37,0.285,0.356,0.483,0.437,1.0,0.448,0.423,0.722,0.477,0.447,0.435,0.374,0.271,0.318,0.433,0.432,0.519,0.366,0.38,0.673,0.789,0.787,0.518,0.388,0.371,0.723,0.348,0.413,0.748,0.382,0.39,0.429,0.349,0.347,0.416,0.288,0.306,0.359,0.338,0.434,0.308,0.28,0.343,0.303,0.307,0.385,0.433,0.33,0.284,0.368,0.305,0.385,0.454,0.347,0.352,0.404,0.318,0.291,0.528,0.0
0.225,0.26,0.025,0.022,0.069,0.09,0.096,0.074,0.104,0.058,0.051,0.053,0.066,0.007,0.031,0.054,0.074,0.004,0.012,0.033,0.085,0.154,0.007,0.314,0.256,0.182,0.122,0.251,0.036,0.001,0.0,0.005,0.072,0.005,0.004,0.018,0.0,0.003,0.294,0.575,0.225,0.408,0.17,0.059,0.0,0.074,0.019,0.0,0.0,0.002,0.0,0.028,0.063,0.0,0.074,0.012,0.028,0.055,0.0,0.033,0.12,0.147,1.0,0.136,0.063,0.319,0.133,0.12,0.133,0.058,0.0,0.0,0.134,0.131,0.104,0.053,0.059,0.213,0.382,0.316,0.267,0.102,0.052,0.226,0.0,0.015,0.284,0.044,0.046,0.074,0.026,0.041,0.039,0.016,0.014,0.033,0.029,0.047,0.013,0.01,0.009,0.001,0.007,0.031,0.064,0.012,0.002,0.016,0.002,0.015,0.082,0.009,0.011,0.037,0.005,0.0,0.105,0.0
0.053,0.1,0.004,0.005,0.013,0.035,0.022,0.016,0.051,0.013,0.012,0.012,0.014,0.006,0.01,0.015,0.02,0.005,0.006,0.011,0.022,0.082,0.005,0.281,0.08,0.047,0.013,0.264,0.006,0.004,0.004,0.006,0.02,0.005,0.005,0.004,0.004,0.005,0.305,0.447,0.109,0.233,0.024,0.01,0.005,0.014,0.006,0.005,0.005,0.005,0.005,0.006,0.013,0.005,0.018,0.01,0.007,0.012,0.005,0.015,0.032,0.046,1.0,0.022,0.006,0.254,0.032,0.017,0.051,0.01,0.005,0.006,0.042,0.043,0.021,0.009,0.01,0.153,0.211,0.249,0.369,0.094,0.03,0.201,0.004,0.005,0.264,0.018,0.037,0.047,0.011,0.015,0.014,0.01,0.009,0.014,0.013,0.013,0.009,0.007,0.003,0.004,0.005,0.011,0.01,0.005,0.005,0.004,0.005,0.007,0.019,0.004,0.004,0.005,0.005,0.005,0.007,0.0
0.153,0.39,0.001,0.001,0.003,0.096,0.021,0.022,0.137,0.009,0.004,0.01,0.004,0.001,0.009,0.011,0.019,0.001,0.002,0.01,0.022,0.033,0.001,0.322,0.018,0.02,0.015,0.215,0.001,0.001,0.001,0.001,0.022,0.001,0.001,0.001,0.001,0.001,0.448,0.456,0.081,0.293,0.032,0.007,0.001,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.012,0.001,0.016,0.004,0.004,0.011,0.001,0.009,0.034,0.02,1.0,0.015,0.006,0.398,0.028,0.018,0.046,0.008,0.001,0.001,0.022,0.026,0.042,0.008,0.009,0.231,0.438,0.446,0.352,0.045,0.019,0.383,0.001,0.009,0.537,0.028,0.077,0.127,0.013,0.013,0.024,0.002,0.005,0.014,0.011,0.029,0.005,0.001,0.001,0.001,0.003,0.018,0.016,0.004,0.001,0.003,0.001,0.012,0.044,0.001,0.001,0.007,0.002,0.001,0.01,0.0
0.022,0.026,0.0,0.0,0.0,0.016,0.011,0.012,0.018,0.001,0.0,0.002,0.0,0.0,0.004,0.007,0.02,0.0,0.0,0.005,0.023,0.035,0.0,0.185,0.004,0.004,0.0,0.188,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.5,0.537,0.035,0.021,0.011,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.014,0.008,0.0,0.002,0.0,0.016,0.044,0.012,1.0,0.007,0.0,0.33,0.035,0.004,0.013,0.001,0.0,0.0,0.012,0.012,0.02,0.001,0.001,0.268,0.032,0.473,0.463,0.018,0.016,0.285,0.0,0.001,0.445,0.018,0.03,0.046,0.01,0.01,0.012,0.001,0.001,0.01,0.008,0.008,0.002,0.0,0.0,0.0,0.001,0.012,0.004,0.0,0.0,0.0,0.0,0.001,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.719,1.0,0.047,0.035,0.066,0.265,0.136,0.142,0.312,0.061,0.039,0.063,0.051,0.003,0.101,0.031,0.074,0.009,0.004,0.119,0.074,0.086,0.036,0.467,0.201,0.218,0.48,0.301,0.049,0.03,0.003,0.037,0.13,0.035,0.034,0.108,0.003,0.008,0.43,0.652,0.485,0.572,0.25,0.099,0.068,0.004,0.004,0.085,0.004,0.017,0.003,0.039,0.1,0.004,0.06,0.003,0.086,0.097,0.005,0.004,0.06,0.148,0.636,0.061,0.155,0.47,0.048,0.161,0.159,0.083,0.018,0.006,0.144,0.146,0.216,0.082,0.09,0.317,0.91,0.557,0.294,0.129,0.087,0.598,0.04,0.115,0.664,0.118,0.154,0.231,0.08,0.064,0.207,0.003,0.043,0.095,0.066,0.323,0.046,0.003,0.068,0.008,0.033,0.107,0.179,0.068,0.003,0.097,0.03,0.126,0.35,0.073,0.079,0.125,0.046,0.018,0.3,0.0
0.68,0.902,0.155,0.139,0.068,0.051,0.07,0.051,0.055,0.033,0.038,0.027,0.053,0.017,0.045,0.015,0.025,0.012,0.012,0.053,0.023,0.024,0.031,0.228,0.543,0.143,1.0,0.122,0.088,0.028,0.038,0.022,0.049,0.03,0.03,0.125,0.038,0.049,0.121,0.586,0.256,0.455,0.082,0.054,0.034,0.026,0.015,0.046,0.021,0.029,0.013,0.039,0.065,0.036,0.03,0.009,0.151,0.067,0.053,0.009,0.01,0.345,0.433,0.065,0.165,0.112,0.02,0.195,0.119,0.059,0.037,0.039,0.194,0.13,0.11,0.056,0.057,0.083,0.872,0.189,0.071,0.046,0.029,0.079,0.078,0.045,0.117,0.025,0.028,0.035,0.02,0.023,0.042,0.012,0.017,0.025,0.02,0.105,0.016,0.015,0.293,0.05,0.025,0.02,0.26,0.035,0.034,0.074,0.042,0.029,0.226,0.11,0.099,0.1,0.043,0.037,0.599,0.0
0.507,0.751,0.013,0.007,0.005,0.002,0.007,0.002,0.003,0.001,0.001,0.001,0.002,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.065,0.685,0.023,0.579,0.019,0.004,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.001,0.054,0.464,0.043,0.722,0.009,0.002,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.006,0.0,0.001,0.0,0.001,0.002,0.0,0.0,0.001,0.392,1.0,0.038,0.006,0.075,0.001,0.176,0.01,0.003,0.0,0.0,0.025,0.013,0.007,0.002,0.004,0.005,0.892,0.294,0.004,0.014,0.001,0.013,0.001,0.001,0.275,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.008,0.001,0.0,0.0,0.235,0.001,0.001,0.002,0.001,0.001,0.004,0.003,0.002,0.014,0.001,0.001,0.414,0.0
0.8,1.0,0.052,0.029,0.103,0.329,0.21,0.221,0.375,0.097,0.062,0.1,0.083,0.008,0.13,0.074,0.137,0.014,0.011,0.153,0.146,0.189,0.027,0.609,0.275,0.284,0.477,0.407,0.053,0.019,0.008,0.034,0.203,0.026,0.024,0.097,0.008,0.009,0.609,0.803,0.513,0.654,0.357,0.151,0.069,0.032,0.01,0.087,0.008,0.016,0.008,0.056,0.153,0.008,0.122,0.01,0.115,0.149,0.008,0.031,0.178,0.227,0.944,0.135,0.236,0.626,0.145,0.219,0.244,0.141,0.009,0.009,0.225,0.226,0.334,0.136,0.148,0.509,0.971,0.728,0.426,0.167,0.129,0.7,0.011,0.145,0.829,0.179,0.198,0.281,0.114,0.092,0.273,0.008,0.05,0.136,0.092,0.365,0.056,0.008,0.06,0.008,0.028,0.165,0.215,0.069,0.008,0.126,0.025,0.174,0.408,0.073,0.087,0.171,0.05,0.011,0.347,0.0
