Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Green_BBCH45,Red_BBCH45,RedEdge_BBCH45,NIR_BBCH45,DVI_BBCH45,NDVI_BBCH45,RVI_BBCH45,mSR_BBCH45,TNDVI_BBCH45,RDVI_BBCH45,SAVI_BBCH45,OSAVI_BBCH45,MSAVI2_BBCH45,gDVI_BBCH45,gNDVI_BBCH45,gRDVI_BBCH45,mSR_G_BBCH45,GSAVI_BBCH45,MGSAVI_BBCH45,NGI_BBCH45,GWDRVI_BBCH45,CI_G_BBCH45,CI_RE_BBCH45,TCARI_BBCH45,MCARI1_BBCH45,MCARI2_BBCH45,MTCARI_BBCH45,TCARIOSAVI_BBCH45,REDVI_BBCH45,NDRE_BBCH45,RERDVI_BBCH45,NNIR_BBCH45,REGNDVI_BBCH45,REWDRVI_BBCH45,MSR_RE_BBCH45,MEVI_BBCH45,RESAVI_BBCH45,MRESAVI_BBCH45,MRETVI_BBCH45,Whole_set
0.008,0.362,0.005,0.007,0.008,0.002,0.01,0.006,0.002,0.009,0.009,0.008,0.009,0.004,0.0,0.002,0.002,0.003,0.004,0.001,0.003,0.004,0.01,0.003,0.008,0.006,0.01,0.007,0.01,0.01,0.01,0.007,0.0,0.01,0.01,0.005,0.009,0.006,0.006,0.011,0.011,0.009,0.003,0.006,0.043,0.01,0.005,1.0,0.018,0.018,0.027,0.013,0.005,0.029,0.008,0.006,0.011,0.005,0.052,0.007,0.006,0.01,0.007,0.006,0.017,0.009,0.005,0.004,0.007,0.008,0.005,0.014,0.01,0.008,0.006,0.005,0.004,0.006,0.001
0.01,0.073,0.008,0.008,0.008,0.077,0.007,0.004,0.092,0.008,0.008,0.008,0.008,0.014,0.022,0.028,0.021,0.019,0.018,0.022,0.023,0.033,0.013,0.014,0.008,0.012,0.013,0.063,0.009,0.013,0.007,0.007,0.031,0.013,0.013,0.008,0.007,0.007,0.411,0.033,0.75,0.083,0.022,0.03,0.494,0.013,0.003,1.0,0.082,0.07,0.137,0.033,0.009,0.075,0.003,0.001,0.029,0.018,0.08,0.0,0.007,0.013,0.007,0.0,0.068,0.011,0.005,0.002,0.008,0.006,0.009,0.047,0.013,0.01,0.006,0.003,0.004,0.012,0.009
0.001,0.0,0.0,0.001,0.004,0.009,0.0,0.001,0.01,0.006,0.005,0.005,0.006,0.005,0.009,0.012,0.028,0.006,0.007,0.011,0.034,0.141,0.0,0.006,0.005,0.003,0.001,0.05,0.0,0.001,0.001,0.0,0.023,0.0,0.0,0.001,0.0,0.0,0.761,0.001,0.091,1.0,0.017,0.014,0.008,0.001,0.0,0.009,0.01,0.009,0.007,0.004,0.011,0.0,0.001,0.0,0.006,0.006,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.004,0.001,0.001,0.0,0.001,0.0,0.001,0.0
0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.001,0.0,0.001,0.001,0.001,0.002,0.049,0.001,0.004,0.002,0.077,0.169,0.0,0.01,0.0,0.0,0.0,0.187,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.761,0.0,0.248,1.0,0.046,0.025,0.048,0.0,0.0,0.06,0.024,0.027,0.035,0.001,0.012,0.001,0.001,0.0,0.007,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.015,0.0,0.0,0.0,0.005,0.0,0.001,0.01,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.002,0.001,0.002,0.005,0.006,0.092,0.0,0.004,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,1.0,0.004,0.674,0.916,0.027,0.018,0.662,0.0,0.0,0.762,0.113,0.114,0.282,0.003,0.001,0.058,0.001,0.001,0.034,0.013,0.086,0.001,0.0,0.0,0.0,0.001,0.007,0.0,0.001,0.0,0.0,0.0,0.0,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.004,0.0,0.001,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.92,0.823,0.001,0.001,0.013,0.0,0.0,0.023,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.124,0.002,0.003,0.003,0.026,0.006,0.002,0.031,0.003,0.004,0.002,0.004,0.001,0.001,0.001,0.001,0.0,0.001,0.003,0.001,0.001,0.006,0.001,0.004,0.004,0.006,0.014,0.005,0.006,0.004,0.002,0.003,0.006,0.006,0.003,0.004,0.003,0.018,0.031,0.023,0.032,0.014,0.018,0.165,0.006,0.003,1.0,0.043,0.043,0.081,0.028,0.015,0.075,0.006,0.012,0.035,0.021,0.492,0.015,0.003,0.006,0.004,0.005,0.032,0.005,0.002,0.001,0.004,0.003,0.006,0.063,0.006,0.004,0.004,0.001,0.0,0.002,0.0
0.57,1.0,0.215,0.154,0.055,0.024,0.045,0.046,0.032,0.045,0.03,0.04,0.037,0.116,0.052,0.063,0.044,0.083,0.08,0.053,0.043,0.044,0.028,0.625,0.046,0.049,0.548,0.186,0.079,0.048,0.08,0.07,0.044,0.033,0.04,0.144,0.062,0.054,0.046,0.049,0.052,0.215,0.159,0.055,0.048,0.005,0.0,0.049,0.044,0.105,0.072,0.089,0.069,0.06,0.107,0.068,0.157,0.134,0.137,0.065,0.109,0.161,0.028,0.051,0.023,0.083,0.024,0.036,0.175,0.114,0.104,0.148,0.156,0.155,0.205,0.135,0.112,0.068,0.047
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.005,0.563,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.574,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.085,0.001,0.001,0.001,0.025,0.001,0.0,0.031,0.001,0.001,0.001,0.001,0.003,0.006,0.009,0.003,0.003,0.002,0.007,0.003,0.004,0.002,0.004,0.001,0.002,0.002,0.023,0.002,0.002,0.001,0.001,0.008,0.002,0.002,0.001,0.001,0.001,0.392,0.038,0.083,0.112,0.011,0.011,0.262,0.002,0.0,1.0,0.035,0.035,0.061,0.016,0.006,0.064,0.0,0.0,0.025,0.013,0.135,0.001,0.0,0.002,0.001,0.0,0.019,0.0,0.0,0.0,0.001,0.001,0.002,0.131,0.002,0.001,0.001,0.0,0.001,0.002,0.002
