C,Omega,Epsilon,Kernel_alignment
0.001,10.0,0.1,0.8949770323782398
0.0001,100.0,10000.0,0.8943281680281712
0.1,1000.0,0.1,0.8942282672652003
0.01,10.0,100.0,0.8940683158654716
0.001,10.0,0.01,0.8943338173107994
0.1,1000.0,0.001,0.8982774299274926
0.1,100.0,0.001,0.898364200418126
0.0001,10.0,0.001,0.8979556200991947
0.001,10000.0,0.001,0.8974188111115913
0.1,1000.0,100.0,0.8964403273954273
0.0001,10.0,0.001,0.8937239179927812
0.0001,10.0,100.0,0.8930278515439292
0.1,10.0,0.001,0.8923435715780442
0.1,10.0,10000.0,0.8928563384992908
0.1,100.0,1.0,0.8926862850026765
0.0001,10000.0,1.0,0.9002427451255621
0.1,10.0,0.0001,0.8994622000970096
0.1,100.0,0.1,0.8986526387033433
0.001,10.0,10000.0,0.899442430062908
0.01,10.0,100.0,0.8998626983557635
0.0001,10.0,1.0,0.8969563959521034
0.01,1000.0,0.01,0.8953224452391952
0.01,100.0,100.0,0.8973485220843296
0.001,10.0,100.0,0.897244463968887
0.1,10000.0,0.1,0.8958517926932501
0.1,100.0,0.0001,0.898333575534894
0.001,10.0,10000.0,0.8990151342070603
0.001,100.0,0.01,0.8976572044014202
0.0001,1000.0,10000.0,0.8986565158923383
0.1,1000.0,0.01,0.8989185576387293
0.01,10.0,0.01,0.8960542443445146
0.1,10.0,100.0,0.8949547891340173
0.0001,1000.0,1000.0,0.8970341977054821
0.001,10.0,0.001,0.8951881502748481
0.001,10.0,0.001,0.8953339170118777
0.01,1000.0,10.0,0.897727340837075
0.0001,1000.0,10.0,0.8975063435790307
0.1,10.0,1000.0,0.897528891776839
0.01,1000.0,0.001,0.8972282431005391
0.0001,100.0,10000.0,0.8970450843785797
