C,Omega,Epsilon,Kernel_alignment
0.1,10.0,100.0,0.8887975200425252
0.1,10000.0,10.0,0.8901668063380472
0.01,100.0,0.001,0.8882756230850054
0.0001,10.0,100.0,0.8883158044669102
0.001,100.0,0.0001,0.8859074287169059
0.0001,10.0,1000.0,0.8928913336004684
0.0001,100.0,0.01,0.8910717702533375
0.001,10.0,1000.0,0.8907125385677718
0.01,10000.0,10.0,0.8918101893597659
0.01,100.0,0.001,0.8895128434445665
0.001,10.0,10.0,0.8843633143203325
0.001,1000.0,1000.0,0.8853185616474322
0.0001,1000.0,10.0,0.8822175056961987
0.01,1000.0,100.0,0.8831917305598602
0.01,10000.0,10000.0,0.8836106759884479
0.1,1000.0,0.01,0.8872014152136384
0.001,100.0,10000.0,0.887520775466563
0.0001,10.0,1.0,0.8890973481109777
0.001,10.0,1.0,0.8880999289964132
0.1,10000.0,1000.0,0.8881870246877653
0.001,10.0,0.001,0.8827021693702618
0.001,1000.0,0.0001,0.8840169108287629
0.1,100.0,1000.0,0.8822454417646854
0.001,100.0,0.01,0.8828179238908405
0.0001,10.0,0.01,0.8824034876896707
0.001,10.0,0.001,0.8848890856740974
0.1,1000.0,0.001,0.8855837036830894
0.001,10.0,0.001,0.8878424970034811
0.1,10.0,100.0,0.8875312828854344
0.0001,10000.0,0.001,0.8862801865632656
0.001,10.0,0.001,0.8833880013851648
0.0001,10000.0,10.0,0.8890311032863728
0.1,10.0,0.1,0.8872355125280125
0.01,1000.0,0.0001,0.8931079021370514
0.1,10000.0,0.01,0.8829469684073816
0.01,10000.0,1000.0,0.8830095859150513
0.01,10000.0,0.1,0.8828149362280348
0.001,10.0,0.01,0.8834061956408076
0.0001,10.0,0.0001,0.8832245522466513
0.0001,10.0,0.001,0.8828314892162986
